epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.722,4.0671,3.11561,6.30769,0,0,0,0,4.44452,4.33295,5.99005,0.0517424,0.000984848,0.000984848
2,21.3585,3.83094,2.47251,5.58105,0.00364,0.36675,0.0031,0.00083,4.38461,3.97392,5.82485,0.00273033,0.00197275,0.00197275
3,31.6092,3.36271,2.36032,5.04939,0.04077,0.19789,0.01859,0.00437,3.80555,6.76761,5.50491,0.00195155,0.00195155,0.00195155
4,41.4837,3.11758,2.24526,4.6854,0.09261,0.10818,0.04527,0.01423,3.81356,3.03195,5.33172,0.0018921,0.0018921,0.0018921
5,51.4504,3.00355,2.13193,4.48293,0.12051,0.16623,0.04794,0.01176,3.8307,4.80489,5.49964,0.00181093,0.00181093,0.00181093
6,60.8375,2.83285,2.08294,4.27188,0.06572,0.11873,0.04091,0.01084,3.36114,3.07497,4.58887,0.00171004,0.00171004,0.00171004
7,70.674,2.81163,1.93119,4.1159,0.30544,0.3219,0.23079,0.07227,2.96734,2.08522,4.27872,0.00159191,0.00159191,0.00159191
8,81.1289,2.74004,1.87797,4.0639,0.27337,0.32454,0.21385,0.06806,3.12752,1.99572,4.3557,0.00145945,0.00145945,0.00145945
9,90.6418,2.67956,1.83352,3.92836,0.26696,0.37203,0.25718,0.09138,2.73357,1.89454,3.98948,0.00131593,0.00131593,0.00131593
10,100.606,2.59166,1.72076,3.7888,0.39309,0.41161,0.34267,0.13892,2.64279,1.59419,3.80596,0.00116487,0.00116487,0.00116487
11,110.23,2.46573,1.63608,3.65735,0.38004,0.37203,0.29982,0.13003,2.71868,1.68667,3.95873,0.00101,0.00101,0.00101
12,120.011,2.40017,1.60954,3.62733,0.41993,0.45383,0.37349,0.13717,2.46128,1.60682,3.6929,0.00085513,0.00085513,0.00085513
13,130.722,2.35346,1.57653,3.58765,0.47478,0.5066,0.45121,0.19354,2.32265,1.43474,3.50573,0.000704073,0.000704073,0.000704073
14,141.52,2.25432,1.52872,3.46367,0.53183,0.51553,0.4936,0.2289,2.26147,1.43115,3.44101,0.000560549,0.000560549,0.000560549
15,152.259,2.25669,1.47085,3.42884,0.53997,0.48021,0.49783,0.233,2.25154,1.38316,3.36565,0.000428093,0.000428093,0.000428093
16,162.737,2.24888,1.47848,3.39902,0.47714,0.47193,0.47698,0.22138,2.18707,1.38353,3.33743,0.000309964,0.000309964,0.000309964
17,173.137,2.20883,1.46928,3.37168,0.4801,0.51451,0.47156,0.21939,2.13505,1.37579,3.29787,0.000209073,0.000209073,0.000209073
18,183.465,2.19956,1.40561,3.33185,0.54163,0.53034,0.52788,0.26353,2.1018,1.30102,3.23818,0.000127904,0.000127904,0.000127904
19,194.514,2.12837,1.40999,3.40756,0.55908,0.59103,0.54997,0.27523,2.05872,1.29659,3.21109,6.8454e-05,6.8454e-05,6.8454e-05
20,204.434,2.07622,1.30971,3.369,0.57198,0.58047,0.56346,0.27995,2.06092,1.27965,3.21303,3.21885e-05,3.21885e-05,3.21885e-05
