epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59741,1.87334,1.36044,2.88781,0.00519,0.44327,0.01124,0.00221,2.16204,2.04104,2.89459,0.0514962,0.000738636,0.000738636
2,16.9138,1.76261,1.19906,2.61427,0.008,0.02902,0.0028,0.00063,2.17672,1.84258,3.09024,0.00223714,0.00147956,0.00147956
3,25.365,1.5453,1.10205,2.39751,0.06792,0.16095,0.03363,0.00669,1.93619,2.61412,2.79767,0.00146366,0.00146366,0.00146366
4,32.9978,1.43872,1.05325,2.28225,0.2492,0.35356,0.16329,0.04934,1.54294,1.80361,2.384,0.00141907,0.00141907,0.00141907
5,41.2278,1.36812,0.98162,2.17552,0.13679,0.19261,0.09665,0.03049,1.50222,1.61347,2.24897,0.0013582,0.0013582,0.0013582
6,49.2229,1.30879,0.93225,2.07539,0.29151,0.24861,0.18662,0.06541,1.49957,1.0968,2.20717,0.00128253,0.00128253,0.00128253
7,57.2267,1.25032,0.88225,2.01525,0.32879,0.37203,0.29607,0.10475,1.34011,1.10944,2.08635,0.00119393,0.00119393,0.00119393
8,65.2651,1.23023,0.8518,1.97329,0.44918,0.4934,0.39671,0.13319,1.3099,0.9377,2.01925,0.00109459,0.00109459,0.00109459
9,73.9154,1.19824,0.83716,1.91324,0.35114,0.48813,0.34495,0.12299,1.305,0.8213,1.94053,0.000986945,0.000986945,0.000986945
10,82.5562,1.15481,0.78413,1.84247,0.64187,0.55802,0.59235,0.26298,1.17865,0.85255,1.81396,0.000873653,0.000873653,0.000873653
11,90.7808,1.09145,0.75316,1.77853,0.55636,0.53562,0.58358,0.27199,1.11226,0.70012,1.73166,0.0007575,0.0007575,0.0007575
12,98.8983,1.08172,0.71718,1.76406,0.64292,0.60158,0.62433,0.2577,1.17543,0.64905,1.76515,0.000641347,0.000641347,0.000641347
13,106.732,1.06962,0.7127,1.75729,0.62743,0.65435,0.65724,0.29489,1.07405,0.65374,1.6746,0.000528055,0.000528055,0.000528055
14,114.839,1.02391,0.69529,1.69274,0.66118,0.64908,0.68406,0.33538,1.02156,0.62695,1.62565,0.000420412,0.000420412,0.000420412
15,122.79,1.00988,0.66963,1.67037,0.76157,0.65699,0.7444,0.36965,1.02365,0.59176,1.60472,0.000321069,0.000321069,0.000321069
16,131.048,1.00595,0.6718,1.6514,0.71841,0.70449,0.73913,0.38369,1.0064,0.579,1.5775,0.000232473,0.000232473,0.000232473
17,138.967,0.98437,0.66218,1.63508,0.71018,0.63362,0.68432,0.34795,0.97991,0.57197,1.55538,0.000156805,0.000156805,0.000156805
18,147.41,0.98588,0.63767,1.62965,0.73668,0.69393,0.75178,0.39936,0.97415,0.55871,1.53301,9.59277e-05,9.59277e-05,9.59277e-05
19,155.968,0.94312,0.63747,1.64157,0.74943,0.69393,0.75597,0.41443,0.94497,0.55549,1.51124,5.13405e-05,5.13405e-05,5.13405e-05
20,163.788,0.909,0.58945,1.61111,0.77844,0.7124,0.77081,0.41902,0.92976,0.55421,1.49801,2.41414e-05,2.41414e-05,2.41414e-05
